imagemagick 7.1.0.52-1.1
imake 1.0.9-1.1
imath 3.1.6-1.1
imlib2 1.9.1-2.1
imv 4.3.1-6.1
inetutils 2.3-1.1
iniparser 4.1-4.1
inkscape 1.2.1-8.1
instaloader 4.9.5-1
intel-gmmlib 22.1.4-2.1
intel-media-driver 22.4.4-2.1
intel-media-sdk 22.4.4-1
intel-ucode 20220809-1
intel-undervolt 1.7-2
interception-ralt2hyper 1.0.0-1
interception-tools 0.6.8-5.1
iproute2 6.0.0-1.1
iptables 1:1.8.8-2.1
iputils 20211215-1.2
iso-codes 4.12.0-1
iw 5.19-1.1
iwd 1.30-1.1
j4-dmenu-desktop 2.18-4.1
jack2 1.9.21-1.1
jansson 2.14-2.1
jasper 3.0.6-1.1
java-runtime-common 3-3
jbig2dec 0.19-1.1
jq 1.6-4.1
jre-openjdk-headless 19.0.1.u10-3.1
js102 102.4.0-1
js78 78.15.0-4.1
js91 91.13.0-1
json-c 0.16-1.1
json-glib 1.6.6-2.1
jsoncpp 1.9.5-2.1
jxrlib 0.2.4-1.1
kbd 2.5.1-1.1
keyutils 1.6.3-1.2
kimageformats 5.99.0-3.1
kitty 0.26.5-1.1
kitty-shell-integration 0.26.5-1.1
kitty-terminfo 0.26.5-1.1
kmod 30-3.1
krb5 1.20-3.1
l-smash 2.14.5-2.1
lame 3.100-4.1
lapack 3.10.1-1.1
lcms2 2.14-1.1
ldb 2:2.6.1-1.1
ldns 1.8.3-2.1
lensfun 1:0.3.3-1.1
less 1:608-1.1
lf 27-2.1
lhasa 0.3.1-3.1
lib2geom 1.2-2.1
lib32-attr 2.5.1-1
lib32-glibc 2.36-6
libadwaita 1:1.2.0-1.1
libaio 0.3.113-1.1
libao 1.2.2-5.1
libappindicator-gtk3 12.10.0.r298-1
libarchive 3.6.1-5.1
libass 0.16.0-1.1
libassuan 2.5.5-1.2
libasyncns 1:0.8+r3+g68cd5af-2.1
libatasmart 0.19-5.1
libavc1394 0.5.4-4.1
libavif 0.11.1-1.1
libavtp 0.2.0-1.1
libb2 0.98.1-2.1
libblockdev 2.28-1.1
libbluray 1.3.3-1.1
libbpf 1.0.1-1.1
libbs2b 3.1.0-8.1
libbsd 0.11.7-1.1
libbytesize 2.7-1.1
libcaca 0.99.beta20-1.1
libcamera 0.0.1-3.1
libcanberra 1:0.30+r2+gc0620e4-2.1
libcap 2.66-1.1
libcap-ng 0.8.3-1.1
libcbor 0.9.0-1.1
libcddb 1.3.2-6.1
libcdio 2.1.0-3.1
libcdio-paranoia 10.2+2.0.1-2.1
libcdr 0.1.7-5.1
libcloudproviders 0.3.1+r8+g3a229ee-1.1
libcolord 1.4.6-1.1
libconfig 1.7.3-1.1
libcroco 0.6.13-2.1
libcups 1:2.4.2-3.1
libdaemon 0.14-5.1
libdatrie 0.2.13-1.1
